TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Cluster
55.31999999999999,2023-04-12 16:03:37,Debit,Tucson,ATM,19.0,Student,117.0,1.0,241.78999999999996,1
304.31,2023-07-26 16:52:28,Debit,Louisville,Branch,27.0,Student,33.0,1.0,868.6099999999997,1
435.27,2023-10-04 17:49:29,Debit,Chicago,Branch,74.0,Retired,90.0,1.0,4673.28,0
164.49,2023-12-13 16:01:38,Debit,Baltimore,Branch,26.0,Student,75.0,1.0,1509.27,1
510.24,2023-10-09 16:29:40,Debit,Oklahoma City,Online,19.0,Student,105.0,1.0,781.6999999999998,1
626.9,2023-11-27 16:45:57,Debit,Denver,Online,26.0,Student,138.0,1.0,265.5100000000002,1
22.00999999999999,2023-03-27 16:45:18,Credit,Sacramento,Online,41.0,Engineer,175.0,1.0,1335.0900000000001,1
425.34,2023-02-13 16:59:39,Credit,Kansas City,Online,69.0,Retired,121.0,1.0,3907.54,0
424.56,2023-02-21 17:45:55,Debit,Omaha,Online,51.0,Engineer,264.0,1.0,5183.85,0
85.43,2023-06-07 16:45:34,Debit,Virginia Beach,Branch,67.0,Doctor,145.0,1.0,14904.9,0
169.5,2023-09-07 16:51:27,Debit,San Diego,Branch,28.0,Student,142.0,1.0,918.8800000000001,1
104.63,2023-03-29 17:47:16,Debit,Omaha,ATM,62.0,Retired,90.0,1.0,4477.78,0
316.95,2023-08-04 17:53:40,Debit,Mesa,Branch,25.0,Student,83.0,1.0,1324.0299999999997,1
60.53999999999999,2023-12-14 17:52:37,Credit,Columbus,Branch,57.0,Retired,52.0,1.0,3534.93,0
292.56,2023-03-03 17:37:41,Credit,Dallas,Branch,68.0,Retired,61.0,1.0,4638.37,0
386.52,2023-06-09 16:18:15,Debit,Indianapolis,Branch,48.0,Engineer,28.0,1.0,5630.61,0
112.07,2023-10-02 16:35:22,Debit,Kansas City,Branch,23.0,Student,51.0,1.0,930.3000000000002,1
568.52,2023-10-06 18:44:37,Debit,Indianapolis,ATM,46.0,Engineer,152.0,1.0,5499.91,0
349.64,2023-11-07 16:48:23,Debit,Las Vegas,Online,48.0,Engineer,226.0,1.0,6651.62,0
601.4,2023-05-30 17:43:25,Credit,Philadelphia,Branch,56.0,Engineer,104.0,1.0,8458.29,0
5.769999999999982,2023-11-02 16:01:40,Debit,Charlotte,Online,50.0,Doctor,124.0,1.0,13988.12,0
201.33,2023-03-29 17:00:31,Credit,Nashville,Branch,42.0,Engineer,186.0,1.0,2585.07,1
298.42,2023-04-25 16:11:24,Debit,Indianapolis,Branch,56.0,Retired,225.0,1.0,3014.75,0
521.06,2023-04-18 18:40:47,Debit,Albuquerque,Branch,25.0,Student,128.0,1.0,1951.42,1
117.28,2023-02-09 16:34:53,Credit,Austin,Online,60.0,Engineer,16.0,1.0,3665.77,0
189.12,2023-11-13 16:42:28,Credit,Indianapolis,Branch,32.0,Engineer,103.0,1.0,977.0100000000002,1
133.55,2023-07-18 16:12:00,Debit,Atlanta,ATM,44.0,Engineer,220.0,1.0,3846.28,0
143.21,2023-01-13 17:00:16,Debit,Dallas,Online,35.0,Engineer,135.0,1.0,6374.82,0
24.77000000000001,2023-07-04 18:20:33,Debit,Boston,ATM,62.0,Retired,55.0,1.0,5866.01,0
233.92,2023-10-20 16:54:28,Credit,Jacksonville,Online,26.0,Student,280.0,1.0,6537.62,1
1212.51,2023-10-04 16:36:29,Debit,Indianapolis,Branch,20.0,Student,24.0,1.0,605.9499999999998,1
232.12,2023-12-28 17:31:03,Debit,Omaha,ATM,37.0,Engineer,51.0,1.0,6689.87,0
162.63,2023-06-12 17:53:52,Debit,Kansas City,Online,22.0,Student,113.0,1.0,634.1700000000001,1
91.53,2023-03-13 16:32:12,Debit,Milwaukee,Branch,44.0,Doctor,69.0,1.0,14676.05,0
120.29000000000002,2023-12-18 18:46:27,Debit,Miami,Branch,19.0,Student,77.0,1.0,1362.3900000000003,1
174.25,2023-07-17 18:54:31,Debit,Seattle,Online,50.0,Doctor,67.0,1.0,10528.34,0
183.71,2023-06-19 18:22:10,Debit,Denver,ATM,38.0,Engineer,102.0,1.0,552.5200000000004,1
345.39,2023-10-23 17:13:57,Credit,Phoenix,Online,58.0,Engineer,80.0,1.0,6451.96,0
922.55,2023-01-23 16:32:48,Debit,Detroit,ATM,63.0,Retired,87.0,1.0,4715.84,0
259.91,2023-11-06 16:34:10,Debit,Denver,Online,49.0,Doctor,170.0,1.0,7176.86,0
154.71,2023-07-03 16:40:24,Debit,San Diego,Online,34.0,Doctor,157.0,1.0,1523.7200000000003,1
24.560000000000002,2023-10-20 17:27:35,Debit,Mesa,Branch,64.0,Doctor,69.0,1.0,9869.93,0
568.07,2023-08-28 17:03:53,Debit,Washington,ATM,48.0,Doctor,115.0,1.0,10556.81,0
9.610000000000014,2023-06-22 18:37:29,Credit,San Diego,Online,58.0,Doctor,179.0,1.0,12883.91,0
392.96,2023-11-20 16:28:09,Debit,Kansas City,Online,24.0,Student,100.0,1.0,791.6499999999996,1
716.93,2023-09-14 16:49:33,Credit,Milwaukee,Online,60.0,Retired,34.0,1.0,4064.02,0
230.66,2023-03-27 18:16:04,Debit,Houston,Branch,21.000000000000004,Student,135.0,1.0,618.0500000000002,1
442.12,2023-12-21 16:37:03,Debit,Los Angeles,Online,19.0,Student,260.0,1.0,1375.8000000000002,1
644.17,2023-03-02 16:05:09,Debit,San Antonio,ATM,29.0,Engineer,72.0,1.0,1143.5200000000004,1
508.68,2023-06-26 16:16:50,Credit,Mesa,Branch,51.0,Engineer,127.0,1.0,7708.41,0
858.6299999999999,2023-04-18 17:27:23,Credit,San Francisco,Branch,27.0,Student,185.0,1.0,1872.96,1
25.360000000000014,2023-07-17 17:08:24,Debit,Louisville,ATM,57.0,Engineer,78.0,1.0,201.03999999999996,0
147.62,2023-09-01 17:26:02,Debit,Charlotte,Branch,71.0,Retired,133.0,1.0,2115.8,0
115.01999999999998,2023-09-11 16:19:04,Debit,San Antonio,Branch,37.0,Doctor,175.0,1.0,7643.66,0
383.37,2023-01-24 17:23:56,Debit,Fort Worth,Branch,30.0,Engineer,24.0,1.0,8901.93,0
98.54000000000002,2023-08-11 16:18:46,Credit,El Paso,Online,20.0,Student,167.0,1.0,9383.43,1
83.24000000000001,2023-10-16 18:35:11,Credit,Fort Worth,Branch,55.0,Doctor,164.0,1.0,1181.31,0
196.16,2023-02-24 16:29:23,Debit,Virginia Beach,Branch,27.0,Engineer,146.0,1.0,9418.86,0
129.94,2023-01-02 16:36:02,Debit,Las Vegas,ATM,32.0,Engineer,235.0,1.0,7954.92,0
306.9,2023-11-30 16:31:03,Debit,Colorado Springs,Online,46.0,Engineer,51.0,1.0,9418.08,0
114.98000000000002,2023-11-01 16:52:01,Debit,Seattle,Online,59.0,Retired,80.0,1.0,6144.68,0
756.59,2023-03-06 16:47:02,Debit,Sacramento,Branch,27.0,Student,17.0,1.0,420.64999999999964,1
503.76,2023-11-27 18:32:49,Debit,Los Angeles,Online,22.0,Student,35.0,1.0,447.8199999999997,1
143.03,2023-07-31 16:37:46,Debit,San Antonio,ATM,63.0,Retired,147.0,1.0,7981.45,0
1045.22,2023-11-22 16:13:39,Debit,Columbus,ATM,53.0,Retired,73.0,1.0,1829.9,0
245.54,2023-03-21 16:29:31,Debit,New York,ATM,25.0,Student,180.0,1.0,985.0599999999995,1
254.37,2023-04-20 18:26:50,Credit,Dallas,Online,51.0,Engineer,174.0,1.0,8849.26,0
213.76,2023-03-01 17:52:14,Credit,Dallas,ATM,78.0,Retired,282.0,1.0,3528.72,0
327.86,2023-02-10 16:52:48,Debit,Fresno,Online,40.0,Engineer,104.0,1.0,480.15999999999985,1
2.5,2023-07-21 16:43:11,Debit,San Diego,Online,47.0,Doctor,107.0,1.0,12145.27,0
300.08,2023-10-09 17:02:43,Credit,Austin,Online,68.0,Doctor,47.0,1.0,13546.75,0
56.97999999999999,2024-01-01 16:34:10,Credit,Oklahoma City,ATM,43.0,Engineer,122.0,2.0,5688.37,2
407.65,2023-07-07 16:11:38,Debit,Boston,Online,26.0,Engineer,62.0,1.0,8346.64,0
115.82999999999998,2023-05-22 17:09:52,Debit,Fresno,Branch,39.0,Engineer,167.0,1.0,6481.04,0
53.56999999999999,2023-08-16 16:17:12,Debit,Houston,ATM,69.0,Retired,121.0,1.0,1651.33,0
63.34,2023-11-17 16:02:02,Credit,Detroit,Online,46.0,Doctor,165.0,1.0,11174.94,0
317.87,2023-05-22 17:29:35,Debit,Detroit,Online,27.0,Student,91.0,1.0,145.5,1
331.65,2023-08-25 17:26:07,Debit,Portland,Online,41.0,Engineer,61.0,1.0,4172.57,0
5.0400000000000205,2023-11-27 16:38:34,Debit,Washington,ATM,56.0,Retired,41.0,1.0,5558.36,0
214.54,2023-08-04 17:46:44,Credit,Detroit,Online,70.0,Doctor,247.0,1.0,11151.53,0
598.81,2023-09-04 16:48:35,Debit,Philadelphia,Branch,57.0,Doctor,158.0,1.0,1415.52,0
841.28,2023-08-09 17:34:26,Debit,Tucson,Online,26.0,Student,80.0,1.0,1103.6400000000003,1
38.150000000000006,2023-09-07 16:07:40,Debit,Mesa,Online,26.0,Student,108.0,1.0,303.6800000000003,1
1036.66,2023-07-11 16:39:53,Debit,San Antonio,Branch,58.0,Doctor,144.0,1.0,5541.57,0
124.72,2023-07-03 17:14:07,Debit,Oklahoma City,Branch,33.0,Engineer,105.0,1.0,6309.8,0
302.45,2023-09-25 17:13:36,Credit,San Antonio,Branch,78.0,Retired,40.0,1.0,5133.61,0
208.04,2023-11-20 17:10:02,Debit,Louisville,Online,47.0,Engineer,273.00000000000006,1.0,9344.98,0
5.769999999999982,2023-11-17 17:27:07,Credit,Los Angeles,Branch,23.0,Student,254.0,1.0,1117.9700000000003,1
381.33,2023-08-21 16:46:05,Debit,Albuquerque,ATM,56.0,Doctor,75.0,1.0,11835.35,0
16.160000000000025,2023-10-16 16:59:36,Debit,Milwaukee,ATM,50.0,Doctor,124.0,1.0,14401.17,0
486.08,2023-06-20 17:21:50,Debit,Oklahoma City,Online,18.0,Student,68.0,1.0,1748.69,1
336.39,2023-01-16 16:53:38,Debit,San Antonio,Branch,21.000000000000004,Student,18.0,1.0,1000.46,1
997.4299999999998,2023-11-22 16:07:19,Debit,Seattle,Online,69.0,Doctor,118.0,1.0,6810.05,0
234.57,2023-09-01 16:09:08,Debit,Chicago,Online,23.0,Student,120.0,1.0,263.97999999999956,1
6.0,2023-10-23 18:38:15,Debit,Chicago,Online,30.0,Doctor,246.0,1.0,5442.76,1
227.14,2023-07-03 17:42:08,Debit,Charlotte,ATM,18.0,Student,294.0,1.0,341.9399999999996,1
233.74,2023-10-24 16:41:00,Credit,Oklahoma City,Online,66.0,Retired,17.0,1.0,1066.5899999999997,0
113.01999999999998,2023-09-25 16:54:22,Credit,Jacksonville,Branch,69.0,Retired,166.0,1.0,6077.96,0
45.849999999999994,2023-02-16 17:57:10,Debit,Los Angeles,ATM,20.0,Student,92.0,1.0,1659.15,1
415.5,2023-07-28 16:29:23,Debit,Memphis,ATM,66.0,Doctor,141.0,1.0,10113.66,0
265.76,2023-02-06 17:48:55,Debit,Philadelphia,Online,54.0,Retired,92.0,1.0,4446.17,0
69.4,2023-07-24 18:08:43,Debit,Virginia Beach,Online,80.0,Retired,113.0,1.0,6452.77,0
332.93,2023-11-20 16:29:48,Credit,Albuquerque,Branch,35.0,Engineer,293.0,1.0,2788.2,1
267.9,2023-10-09 16:52:47,Debit,San Antonio,Online,20.0,Student,160.0,1.0,596.1599999999999,1
496.03,2023-11-03 16:45:52,Debit,San Francisco,Branch,61.0,Doctor,265.0,1.0,12904.66,0
376.26,2023-02-15 16:41:11,Debit,Tucson,ATM,37.0,Engineer,245.0,1.0,9062.4,0
83.01999999999998,2023-09-04 17:59:51,Credit,Seattle,Online,36.0,Engineer,171.0,1.0,9009.56,0
93.25999999999999,2023-07-27 16:22:52,Credit,New York,Online,20.0,Student,72.0,1.0,1152.1999999999998,1
803.3699999999999,2023-04-17 16:08:34,Credit,Memphis,Branch,68.0,Doctor,129.0,1.0,12168.37,0
35.75999999999999,2023-09-19 17:38:18,Debit,Charlotte,Branch,23.0,Student,122.0,1.0,611.8599999999997,1
28.53,2023-05-31 16:37:39,Debit,Washington,Online,62.0,Doctor,99.0,1.0,8670.53,0
139.53,2023-10-09 17:20:09,Credit,Louisville,Online,53.0,Doctor,177.0,1.0,10098.86,0
307.57,2023-01-09 16:12:01,Debit,Detroit,Branch,33.0,Doctor,285.0,1.0,5307.74,0
60.650000000000006,2023-05-26 18:15:08,Credit,Tucson,Branch,56.0,Retired,53.0,1.0,1047.2799999999997,0
74.86000000000001,2023-08-14 17:43:17,Debit,Nashville,Branch,70.0,Doctor,125.0,1.0,6921.48,0
117.97,2023-11-24 18:51:32,Debit,Kansas City,Branch,51.0,Retired,137.0,1.0,1475.46,0
231.91,2023-01-31 18:31:22,Debit,Memphis,ATM,34.0,Engineer,165.0,1.0,112.76000000000022,1
126.20999999999998,2023-02-14 16:07:01,Debit,Baltimore,Branch,75.0,Retired,268.0,1.0,5669.66,0
506.28,2023-05-02 17:03:29,Credit,Chicago,Online,53.0,Retired,162.0,2.0,1309.9499999999998,2
304.35,2023-12-04 17:07:34,Debit,Houston,Branch,31.0,Engineer,36.0,1.0,4057.1,1
281.85,2023-05-16 17:26:37,Debit,Detroit,ATM,22.0,Student,109.0,1.0,1585.98,1
777.88,2023-03-20 16:58:12,Debit,Houston,Branch,31.0,Engineer,17.0,1.0,6825.55,0
119.18,2023-08-25 18:01:38,Debit,Los Angeles,Branch,56.0,Retired,96.0,1.0,5516.5,0
177.19,2023-05-15 17:25:28,Debit,Chicago,Online,76.0,Retired,43.0,1.0,5343.3,0
260.88,2023-05-29 16:50:10,Debit,Denver,Branch,22.0,Student,36.0,1.0,903.0500000000002,1
169.47,2023-03-22 16:10:14,Debit,Chicago,Online,24.0,Student,19.0,1.0,1806.1599999999999,1
73.23000000000002,2023-05-19 16:52:53,Debit,Portland,Branch,26.0,Student,14.0,1.0,787.7399999999998,1
792.5699999999999,2023-05-22 16:22:36,Debit,Baltimore,ATM,19.0,Student,164.0,1.0,770.3699999999999,1
237.06,2023-12-18 16:47:17,Debit,Phoenix,Online,71.0,Retired,46.0,1.0,1182.77,0
34.170000000000016,2023-11-21 16:57:43,Credit,Philadelphia,Online,54.0,Engineer,54.0,1.0,726.5500000000002,0
740.25,2023-07-19 17:03:58,Debit,Philadelphia,Online,41.0,Doctor,123.0,1.0,14464.3,0
453.54,2023-04-19 16:36:03,Debit,Albuquerque,ATM,58.0,Doctor,82.0,1.0,12046.3,0
300.47,2023-11-13 16:11:52,Debit,Jacksonville,Branch,73.0,Retired,100.0,1.0,7885.64,0
110.93,2023-04-07 16:38:15,Credit,Virginia Beach,Branch,19.0,Student,201.0,1.0,1952.35,1
201.69,2023-01-03 16:46:36,Debit,Las Vegas,ATM,59.0,Doctor,299.0,1.0,7328.52,0
399.21,2023-01-30 16:15:49,Debit,Portland,ATM,59.0,Engineer,109.0,1.0,3210.39,0
1041.88,2023-09-06 16:44:02,Debit,Jacksonville,Online,78.0,Retired,57.0,1.0,5726.2,0
630.36,2023-03-02 16:11:53,Debit,Mesa,ATM,62.0,Retired,52.0,1.0,1363.65,0
10.939999999999998,2023-10-23 17:24:07,Credit,Philadelphia,ATM,60.0,Engineer,245.0,1.0,1241.9899999999998,0
215.9,2023-01-04 16:02:09,Debit,Los Angeles,ATM,38.0,Doctor,235.0,1.0,7873.28,0
226.37,2023-09-18 17:07:08,Credit,Louisville,Branch,49.0,Doctor,141.0,1.0,9840.04,0
444.89,2023-09-11 16:27:39,Credit,Las Vegas,Branch,43.0,Doctor,101.0,1.0,10328.23,0
280.57,2023-01-27 17:35:05,Credit,Virginia Beach,Online,25.0,Student,24.0,1.0,293.2399999999998,1
488.54,2023-07-03 17:47:49,Debit,Jacksonville,Branch,52.0,Engineer,132.0,1.0,7486.63,0
3.3000000000000114,2023-03-27 16:42:16,Credit,Los Angeles,Branch,50.0,Doctor,131.0,1.0,11385.37,0
199.39,2023-08-21 16:16:22,Debit,Colorado Springs,Branch,69.0,Retired,165.0,1.0,7264.79,0
20.360000000000014,2023-07-24 17:02:18,Debit,Tucson,Branch,62.0,Retired,75.0,1.0,2762.48,0
113.63999999999999,2023-10-24 17:09:41,Debit,Detroit,Online,62.0,Retired,32.0,1.0,6675.03,0
493.11,2023-07-31 16:25:26,Debit,Colorado Springs,Branch,53.0,Retired,236.0,1.0,7432.99,0
307.41,2023-06-12 17:32:52,Debit,Los Angeles,ATM,19.0,Student,14.0,1.0,1057.0,1
11.180000000000007,2023-11-30 16:52:42,Debit,Atlanta,Online,43.0,Doctor,161.0,1.0,5956.89,0
313.82,2023-11-15 18:57:38,Debit,Tucson,Branch,59.0,Engineer,151.0,1.0,7261.59,0
51.0,2023-01-30 16:00:38,Debit,Seattle,Branch,64.0,Retired,107.0,1.0,4943.16,0
140.98,2023-05-25 16:34:22,Debit,Memphis,Branch,60.0,Engineer,100.0,1.0,8127.48,0
288.04,2023-08-24 16:47:21,Debit,Denver,ATM,68.0,Retired,63.0,1.0,1748.02,0
800.55,2023-05-04 16:21:31,Debit,Oklahoma City,ATM,31.0,Engineer,108.0,1.0,9660.22,0
485.54,2023-02-06 17:46:59,Debit,Houston,ATM,46.0,Engineer,143.0,1.0,6371.51,0
521.15,2023-02-17 18:16:05,Debit,Kansas City,ATM,54.0,Doctor,214.0,1.0,9442.47,0
321.79,2023-08-07 17:30:33,Credit,Raleigh,ATM,63.0,Retired,61.0,1.0,5959.2,0
304.93,2023-02-24 16:23:22,Debit,Portland,ATM,65.0,Doctor,158.0,1.0,13531.22,0
432.08,2023-07-31 16:04:55,Debit,El Paso,ATM,40.0,Doctor,145.0,1.0,11500.62,0
694.2,2023-12-07 16:20:08,Debit,Milwaukee,ATM,61.0,Retired,72.0,1.0,1389.37,0
116.86000000000001,2023-03-20 18:28:48,Debit,Louisville,ATM,55.0,Engineer,171.0,1.0,6706.56,0
386.81,2023-03-03 18:02:52,Credit,Detroit,Online,57.0,Doctor,149.0,1.0,7175.29,0
74.88,2023-05-24 16:25:50,Debit,Atlanta,ATM,25.0,Student,202.0,1.0,420.6700000000001,1
195.76,2023-05-22 16:17:19,Debit,Philadelphia,Branch,75.0,Retired,99.0,1.0,7323.53,0
134.7,2023-08-21 16:03:18,Debit,Fort Worth,ATM,50.0,Doctor,106.0,1.0,8395.85,0
890.24,2023-07-07 18:03:43,Credit,Las Vegas,Online,33.0,Engineer,161.0,1.0,5140.93,1
361.27,2023-01-06 17:01:53,Debit,Omaha,ATM,63.0,Doctor,180.0,1.0,7945.57,0
131.56,2023-10-19 16:42:37,Debit,Charlotte,Branch,44.0,Doctor,42.0,1.0,5873.54,0
485.51,2023-11-28 16:49:27,Credit,Milwaukee,Online,76.0,Retired,37.0,1.0,3074.45,0
547.87,2023-07-10 17:15:27,Debit,Columbus,ATM,64.0,Retired,131.0,1.0,6155.76,0
457.3,2023-06-26 18:25:21,Debit,Virginia Beach,Online,28.0,Engineer,15.0,1.0,8318.29,0
506.24,2023-01-13 16:44:26,Debit,Chicago,ATM,58.0,Engineer,64.0,1.0,230.09000000000015,0
486.59,2023-12-19 16:55:17,Debit,Indianapolis,Branch,57.0,Retired,119.0,1.0,2513.56,0
163.68,2023-09-28 16:20:57,Debit,San Diego,Branch,41.0,Doctor,292.0,1.0,10090.05,0
581.65,2023-01-09 16:54:58,Debit,Boston,ATM,22.0,Student,176.0,1.0,480.1899999999996,1
52.00999999999999,2023-11-07 16:46:04,Debit,Mesa,ATM,48.0,Doctor,85.0,1.0,1120.88,0
630.24,2023-11-29 18:10:30,Debit,Boston,ATM,21.000000000000004,Student,62.0,1.0,370.8100000000004,1
523.74,2023-11-02 16:36:37,Debit,Oklahoma City,ATM,43.0,Doctor,159.0,1.0,13498.55,0
217.5,2023-10-23 18:54:48,Credit,Denver,Branch,46.0,Engineer,35.0,1.0,3057.4,0
91.48000000000002,2023-01-23 16:50:31,Debit,Fort Worth,ATM,51.0,Doctor,141.0,1.0,14942.78,0
5.25,2023-11-13 18:26:24,Debit,San Jose,ATM,39.0,Doctor,49.0,1.0,14143.32,0
54.03,2023-09-19 17:16:46,Credit,Milwaukee,ATM,56.0,Retired,161.0,1.0,6736.3,0
736.73,2023-11-27 16:05:27,Debit,Memphis,Branch,48.0,Engineer,10.0,1.0,3313.07,0
368.91,2023-03-10 17:49:57,Debit,Virginia Beach,Branch,54.0,Doctor,14.0,1.0,829.71,0
33.06,2023-01-17 16:03:41,Credit,Fort Worth,Online,53.0,Retired,170.0,1.0,1540.87,0
66.5,2023-05-04 16:44:56,Credit,Louisville,Online,32.0,Engineer,144.0,1.0,6820.23,0
177.08,2023-01-06 17:16:44,Debit,Las Vegas,Online,35.0,Doctor,85.0,1.0,13475.14,0
588.54,2023-02-06 17:57:28,Debit,Portland,Branch,32.0,Engineer,130.0,1.0,714.4499999999998,1
173.5,2023-10-23 17:16:20,Debit,Nashville,ATM,21.000000000000004,Student,282.0,1.0,1306.9099999999999,1
78.32999999999998,2023-07-31 16:13:12,Credit,Memphis,Online,56.0,Engineer,189.0,1.0,7255.33,0
40.66,2024-01-01 16:08:49,Debit,Louisville,Branch,59.0,Retired,156.0,1.0,1153.8399999999997,0
97.22,2023-02-20 17:30:19,Credit,Atlanta,Branch,77.0,Retired,55.0,1.0,6647.73,0
34.06999999999999,2023-11-06 17:22:58,Debit,Philadelphia,Branch,22.0,Student,81.0,1.0,8709.77,1
492.06,2023-10-19 16:14:15,Debit,Fresno,Online,23.0,Student,74.0,1.0,857.8999999999996,1
842.01,2023-09-12 16:43:27,Credit,Virginia Beach,Online,53.0,Doctor,185.0,1.0,509.4499999999998,0
73.55000000000001,2023-01-09 16:09:48,Debit,Atlanta,ATM,51.0,Engineer,158.0,1.0,2812.06,0
760.53,2023-09-04 18:13:25,Debit,Phoenix,Online,57.0,Engineer,118.0,1.0,6179.91,0
273.08,2023-01-30 16:09:08,Credit,Houston,Branch,26.0,Engineer,134.0,1.0,6609.3,1
371.69,2023-12-22 16:27:49,Debit,San Francisco,Branch,67.0,Retired,143.0,1.0,3484.32,0
218.96,2023-08-30 16:11:47,Debit,Seattle,ATM,18.0,Student,13.0,1.0,754.21,1
227.39,2023-12-25 16:58:19,Debit,Atlanta,Online,18.0,Student,65.0,1.0,751.0900000000001,1
237.99,2023-05-08 16:45:11,Credit,Kansas City,Branch,39.0,Doctor,86.0,1.0,8510.09,0
186.6,2023-07-04 16:27:23,Debit,Washington,Online,58.0,Doctor,13.0,1.0,1508.7200000000003,0
341.15,2023-02-13 17:18:15,Debit,San Jose,Online,18.0,Student,148.0,1.0,511.3699999999999,1
434.58,2023-09-06 16:28:38,Debit,Memphis,ATM,59.0,Doctor,215.0,1.0,12648.32,0
312.88,2023-05-26 18:12:50,Credit,Portland,Branch,54.0,Engineer,44.0,1.0,233.21000000000004,0
